nu,[0]Ethane-1-1-2-2-tetrafluoro-1-2-dimethoxy--HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
220.947178,0.9686257157153617
221.222673,0.9679227486536722
221.498168,0.9661936490547737
221.773663,0.9629218722676074
222.049159,0.9609777723384464
222.324654,0.962460743140034
222.600149,0.9618343850979135
222.875644,0.9643750538745329
223.15114,0.9645399761091946
223.426635,0.9645727710258928
223.70213,0.9641098871968067
223.977625,0.9625598817021258
224.253121,0.9655310675029785
224.528616,0.9725021428959344
224.804111,0.9725449339316177
225.079607,0.9677040228294256
225.355102,0.9625926092944697
225.630597,0.9611094353119645
225.906092,0.9593339858749029
226.181588,0.9586435140047747
226.457083,0.9586435140047747
226.732578,0.9577571787475742
227.008073,0.9565769918809005
227.283569,0.9535999834751151
227.559064,0.953893737505824
227.834559,0.9531099590306796
228.110054,0.9520011844703515
228.38555,0.9526201863940885
228.661045,0.9540902598568574
228.93654,0.9570037203726595
229.212035,0.9567080519061949
229.487531,0.9614064640160473
229.763026,0.9617353212581238
230.038521,0.9634834193942216
230.314017,0.9641098871968067
230.589512,0.9642757283593357
230.865007,0.9683003121457425
231.140502,0.9709473836064145
231.415998,0.9652665482312778
231.691493,0.964440633607882
231.966988,0.9657299873909291
232.242483,0.9665106125508354
232.517979,0.9681938049694085
232.793474,0.9686615555298757
233.068969,0.9686024689771465
233.344464,0.9692332344763441
233.61996,0.9687516452436468
233.895455,0.9695783429334782
234.17095,0.9689638250867999
234.446445,0.9675772619054568
234.721941,0.9686683361844967
234.997436,0.9685356377124923
235.272931,0.9693757222344057
235.548427,0.967932427929555
235.823922,0.967623706728695
236.099417,0.9682509300890763
236.374912,0.9693728141116013
236.650408,0.9698071904253525
236.925903,0.9689279740885193
237.201398,0.96888727996819
237.476893,0.9687351766056614
237.752389,0.9693088376171174
238.027884,0.9704455335485082
238.303379,0.9702660177305269
238.578874,0.9708939829688471
238.85437,0.9716525473503789
239.129865,0.9729622452151445
239.40536,0.9734186715317553
239.680855,0.973101388764737
239.956351,0.9741986922442424
240.231846,0.9727355714205319
240.507341,0.9726587283457311
240.782836,0.9716467174525845
241.058332,0.9717458304724428
241.333827,0.9716233982111977
241.609322,0.9705687879577581
241.884818,0.972255158719957
242.160313,0.9738051954642774
242.435808,0.9741860277435627
242.711303,0.9732386057341218
242.986799,0.972158910223623
243.262294,0.9709405869985174
243.537789,0.9696248838109112
243.813284,0.9664313619299261
244.08878,0.9640115530034418
244.364275,0.9660603235308769
244.63977,0.9714864089700184
244.915265,0.9685288579867574
245.190761,0.9665840701487426
245.466256,0.9660274780382534
245.741751,0.9651015017634054
246.017246,0.9632522111196696
246.292742,0.9630875090739944
246.568237,0.9628891334805129
246.843732,0.9608134591885512
247.119228,0.9614718418784225
247.394723,0.961768020814936
247.670218,0.9631202546059738
247.945713,0.9650358770925496
248.221209,0.9690035534180537
248.496704,0.9705251133449863
248.772199,0.9719994892352246
249.047694,0.9701563838649534
249.32319,0.9698702299414922
249.598685,0.9687719892418081
249.87418,0.9720753081522843
250.149675,0.9716525473503789
250.425171,0.9784163341419619
250.700666,0.9892234871856902
250.976161,0.9865137652429907
251.251656,0.984963198930386
251.527152,0.9752640735396803
251.802647,0.9727550263265087
252.078142,0.9701961610921195
252.353637,0.9671139033802303
252.629133,0.9649036762333535
252.904628,0.9635161783873807
253.180123,0.9609777723384464
253.455619,0.9590711643709635
253.731114,0.9594654236342487
254.006609,0.9586435140047747
254.282104,0.9593992228039728
254.5576,0.9600892788906044
254.833095,0.9621970650219656
255.10859,0.9631202546059738
255.384085,0.9655310675029785
255.659581,0.9670375043996627
255.935076,0.9692855744841733
256.210571,0.9725585496560026
256.486066,0.979123984936483
256.761562,0.9834799772778189
257.037057,0.9910280899483778
257.312552,0.9904647515487177
257.588047,0.9802947374838071
257.863543,0.9825107439307867
258.139038,0.9829205363467864
258.414533,0.983517350227037
258.690029,0.9834258873665548
258.965524,0.9823889201517697
259.241019,0.9824567073258909
259.516514,0.981225478756561
259.79201,0.9805163091311315
260.067505,0.9803015995709868
260.343,0.9796038732521375
260.618495,0.9776554222670994
260.893991,0.97738464921893
