nu,[0]n-Butylamine-PNNL(x-sec)-X=0.01-T=278.11K-P=1.0atm-L=15cm
618.688374,0.9755527944340323
618.816376,0.9776563999230106
618.944379,0.9761021852963148
619.072381,0.9772429387190528
619.200384,0.9768530965651855
619.328387,0.9765219994895751
619.456389,0.9771588994400637
619.584392,0.9759860360472818
619.712394,0.976443880854403
619.840397,0.976360886651834
619.968399,0.9758133018063329
620.096402,0.9765923116047441
620.224404,0.9759948199611339
620.352407,0.9765005162419029
620.48041,0.9756435250628235
620.608412,0.9779790797742323
620.736415,0.9768462586174425
620.864417,0.9765815691484001
620.99242,0.9768218377662389
621.120422,0.9755957197013364
621.248425,0.9766030541792559
621.376428,0.9762290868288241
621.50443,0.9764995397418749
621.632433,0.9763774849279919
621.760435,0.974863322365463
621.888438,0.9766460256590053
622.01644,0.9756542572006258
622.144443,0.9763413596293717
622.272445,0.9765434832098839
622.400448,0.9765688736705219
622.528451,0.9769595793559178
622.656453,0.9751948322485539
622.784456,0.9761724671837737
622.912458,0.9760455730113397
623.040461,0.9760172681001456
623.168463,0.9760309324375491
623.296466,0.9760241002449348
623.424468,0.9769058480566775
623.552471,0.9756708434639811
623.680474,0.9773778075503313
623.808476,0.9757020654305207
623.936479,0.9763706503095186
624.064481,0.9765776628299361
624.192484,0.9747707147487698
624.320486,0.9756318174107689
624.448489,0.976519069927971
624.576492,0.9764409515271544
624.704494,0.9756005976921298
624.832497,0.9763726030527721
624.960499,0.9748214041438495
625.088502,0.9760865677862904
625.216504,0.9755206017229987
625.344507,0.9751909314770264
625.472509,0.9771716025883268
625.600512,0.9751597258665116
625.728515,0.9760299564071047
625.856517,0.9757274340140121
625.98452,0.9754484158693807
626.112522,0.975731336931554
626.240525,0.974727825780885
626.368527,0.9758142776201225
626.49653,0.9749998127847006
626.624532,0.9753781861117397
626.752535,0.975304060186416
626.880538,0.9742620172172776
627.00854,0.9760172681001456
627.136543,0.975201658636272
627.264545,0.9753772107340413
627.392548,0.9745562887792465
627.52055,0.9749266905408601
627.648553,0.9755791347150742
627.776556,0.9748067819324542
627.904558,0.9750085878225033
628.032561,0.9753089367189083
628.160563,0.9747531690338161
628.288566,0.9751636265132163
628.416568,0.9751441234357175
628.544571,0.9752426179660746
628.672573,0.9732775360569524
628.800576,0.9762339679864612
628.928579,0.974663495867294
629.056581,0.9743993978468121
629.184584,0.9740106900394356
629.312586,0.9746586225619979
629.440589,0.9759323582914511
629.568591,0.974246429149707
629.696594,0.9741285524634632
629.824596,0.973255150931053
629.952599,0.9741412162169595
630.080602,0.974226944415972
630.208604,0.9744744294891273
630.336607,0.9749344899855822
630.464609,0.9737175569404783
630.592612,0.9738188288324472
630.720614,0.9737896147057963
630.848617,0.9737156095073118
630.97662,0.9744276558390885
631.104622,0.9727550263265087
631.232625,0.9739941319984486
631.360627,0.9739882880511885
631.48863,0.9738314885595101
631.616632,0.9743877051241944
631.744635,0.9738908940921626
631.872637,0.9731879986424193
632.00064,0.9729495967881716
632.128643,0.9744003722466971
632.256645,0.9727384896316235
632.384648,0.9741197853459431
632.51265,0.9740321185103288
632.640653,0.9726519197584628
632.768655,0.9743916026828099
632.896658,0.9730371661924466
633.02466,0.9737380052238803
633.152663,0.9724525465513643
633.280666,0.9739756262857455
633.408668,0.9729116524938154
633.536671,0.9729748938065479
633.664673,0.9736279790458862
633.792676,0.9723144680935565
633.920678,0.9732347127874847
634.048681,0.9738714164690576
634.176684,0.9739337462342428
634.304686,0.9733359344610504
634.432689,0.9727871277720485
634.560691,0.9738305147285085
634.688694,0.9715602447428239
634.816696,0.9730683038799651
634.944699,0.972608151406869
635.072701,0.9717205654092977
635.200704,0.9725138129916696
635.328707,0.9729145712331511
635.456709,0.97344982142764
635.584712,0.9724350425630627
635.712714,0.9729778127356078
635.840717,0.9724622711254526
635.968719,0.9726810997537533
636.096722,0.973373895302726
636.224724,0.9711823813068221
636.352727,0.9734313260567394
636.48073,0.9727200077758986
636.608732,0.9725303458670195
636.736735,0.9727190350563772
636.864737,0.9727044443802817
636.99274,0.9732395789732141
637.120742,0.9716243698350817
637.248745,0.9735569067975844
637.376748,0.9720412861118881
637.50475,0.9718099678137629
637.632753,0.9721229410093792
637.760755,0.972610096625117
637.888758,0.972951542689311
638.01676,0.9732434719393159
638.144763,0.9732473649209896
638.272765,0.9726451112188543
638.400768,0.9722036305620532
638.528771,0.9726324669145967
638.656773,0.9718449536023446
638.784776,0.9718673062933324
638.912778,0.9725245107024498
639.040781,0.9725410437596623
639.168783,0.9713542958022975
639.296786,0.97225904774837
639.424788,0.9728552252543765
639.552791,0.9727871277720485
639.680794,0.9723008557862896
639.808796,0.9715553869537447
639.936799,0.9721132198285751
640.064801,0.9719275639342901
640.192804,0.9711347945360235
640.320806,0.971462122113381
640.448809,0.9709211683809642
640.576812,0.9713270982627823
640.704814,0.971509724923624
640.832817,0.9715437283590529
640.960819,0.9712134596402746
641.088822,0.9716020227315681
641.216824,0.9719936572557851
641.344827,0.9702990073359498
641.472829,0.9715796761420321
641.600832,0.9711483905183187
641.728835,0.971201805148686
641.856837,0.9718653625606636
641.98484,0.9712717341960723
642.112842,0.9713212703176766
642.240845,0.9711804389440019
642.368847,0.9716253414599373
642.49685,0.9703892493398202
642.624852,0.9712309416398857
642.752855,0.971605909147432
642.880858,0.9707590380841012
643.00886,0.9712765905668841
643.136863,0.9703494641961983
643.264865,0.9701321302585281
643.392868,0.9712231718234319
643.52087,0.9714757226782944
643.648873,0.9704717359316446
643.776876,0.9702786312707452
