nu,[0]Styrene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
642.48085,0.99369873675453
642.598852,0.9941245284914336
642.716854,0.9935678752483187
642.834857,0.9939552434992578
642.952859,0.9938415415232785
643.070861,0.9932231670059465
643.188864,0.9934360375388988
643.306866,0.9936741926988525
643.424868,0.9939708487190814
643.542871,0.9935208805992517
643.660873,0.9937123505204776
643.778876,0.9938033787408141
643.896878,0.993734113059253
644.01488,0.9941029562232253
644.132883,0.9938527719961497
644.250885,0.9940675667879195
644.368887,0.9936367318879284
644.48689,0.9936532263945818
644.604892,0.993832895139479
644.722894,0.9941341715461287
644.840897,0.9939038573415124
644.958899,0.9935541641062474
645.076902,0.9939578277862504
645.194904,0.9942412455622366
645.312906,0.9936784655070676
645.430909,0.9940269102558696
645.548911,0.9936040417772046
645.666913,0.9941204525892224
645.784916,0.9940957987077076
645.902918,0.9945456293910715
646.02092,0.9938296154963365
646.138923,0.9940707478092228
646.256925,0.9943258590924885
646.374927,0.9945836217597639
646.49293,0.9945425463043992
646.610932,0.9936828377019347
646.728935,0.9944339481879078
646.846937,0.9939900325415849
646.964939,0.993764720541288
647.082942,0.9941607152828663
647.200944,0.9942155944690015
647.318946,0.9944534392843044
647.436949,0.9943320239319259
647.554951,0.9945130088294076
647.672953,0.9946325564777386
647.790956,0.9944319593220002
647.908958,0.9946308656038299
648.026961,0.9941150843532727
648.144963,0.9940158766184025
648.262965,0.9945126110242836
648.380968,0.9949784503477905
648.49897,0.9946765202083262
648.616972,0.9948151877801484
648.734975,0.9940086203289887
648.852977,0.9942818114325936
648.970979,0.994389597422848
649.088982,0.9944927209709643
649.206984,0.9942676927311143
649.324986,0.9943883047172116
649.442989,0.9945269321089939
649.560991,0.994718794858765
649.678994,0.9947499300443072
649.796996,0.9945487124873014
649.914998,0.9944292743593348
650.033001,0.9949457160952555
650.151003,0.9948094178687921
650.269005,0.9943392825821946
650.387008,0.9947083503662527
650.50501,0.9944034195343157
650.623012,0.9944378264878684
650.741015,0.9940947052029304
650.859017,0.9944862567892866
650.97702,0.9946847760577057
651.095022,0.9943805485186841
651.213024,0.9945876995609726
651.331027,0.9944621905130755
651.449029,0.9941302944304201
651.567031,0.9944231089169466
651.685034,0.9946215161176358
651.803036,0.9944316609924573
651.921038,0.9944930193188254
652.039041,0.9942778343133021
652.157043,0.9942684881455867
652.275046,0.9941954120972856
652.393048,0.9943523085121161
652.51105,0.9943892991060136
652.629053,0.9947841500304812
652.747055,0.9942105239823995
652.865057,0.9941251249663297
652.98306,0.9944022262509282
653.101062,0.9943923817176188
653.219064,0.9939943067079143
653.337067,0.9941631012714462
653.455069,0.9945677085491217
653.573071,0.9936205357411976
653.691074,0.9941281073461782
653.809076,0.9940306875653054
653.927079,0.9939093238277606
654.045081,0.9935845673288359
654.163083,0.9935578402634555
654.281086,0.9941088214479694
654.399088,0.9938764259736045
654.51709,0.9938139131124608
654.635093,0.9937857885766838
654.753095,0.9944052094620818
654.871097,0.9942426375009547
654.9891,0.9937947326890294
655.107102,0.9934189505860013
655.225105,0.9936050353817432
655.343107,0.9936872099160394
655.461109,0.9933658040938262
655.579112,0.9939107153017881
655.697114,0.9938613191667417
655.815116,0.9934413027638506
655.933119,0.993189199354485
656.051121,0.9935573434846595
656.169123,0.9931875109342813
656.287126,0.9930411258840128
656.405128,0.9925972364355107
656.52313,0.9928353890777988
656.641133,0.9931438116451915
656.759135,0.9927602342834905
656.877138,0.9925349032863439
656.99514,0.9926009090520798
657.113142,0.99296962949685
657.231145,0.9923130965232885
657.349147,0.992707917197711
657.467149,0.9928427360868619
657.585152,0.9921511642399696
657.703154,0.9925154497928843
657.821156,0.9925003636727022
657.939159,0.9917986163676664
658.057161,0.9918412646251012
658.175164,0.9917850288196971
658.293166,0.9920798311357165
658.411168,0.9913421965176396
658.529171,0.9917755077291217
658.647173,0.991007278577009
658.765175,0.9912293881945912
658.883178,0.9912112488627627
659.00118,0.9906951604454438
659.119182,0.9909380095892157
659.237185,0.9904447443628096
659.355187,0.9904710905434123
659.473189,0.9908092951019571
659.591192,0.9903114394718389
659.709194,0.990576878504859
659.827197,0.9902131064282157
659.945199,0.9896835830712346
660.063201,0.989947863867831
660.181204,0.9898231382948597
660.299206,0.9894154151586156
660.417208,0.9892699817822024
660.535211,0.9890642350243963
660.653213,0.9888891861470797
660.771215,0.9892343687038975
660.889218,0.9885530209751072
661.00722,0.9883918999644075
661.125223,0.9880440472412909
661.243225,0.9881102484101705
661.361227,0.9878197866971019
661.47923,0.9876696495002399
661.597232,0.9875531113574846
661.715234,0.98734772167159
661.833237,0.9870071454603879
661.951239,0.9867179947294187
662.069241,0.9861813661165025
662.187244,0.9863618538206231
662.305246,0.9860452824779655
662.423248,0.9859910514787954
662.541251,0.9854489055042917
662.659253,0.9850745060605995
